NAME                     SERVICES
ai-employee-stack        3
ai-factory               1
app-factory              1
automated-money-system   10
credit-repair            6
empire-brain             1
empire-monitoring        4
empire-training          3
flowstate-ai             3
flowstate-stack          5
fluxeo                   13
fluxeo-empire            14
freight-dispatch         1
industry-intelligence    1
invoice_ai_v2            11
master-dashboard         3
mcp-server               1
nichehunter              2
real-estate-sniper       1
swamp-tours-stack        1
trading                  9
unified_engine_stack     9
