State  Recv-Q Send-Q Local Address:Port  Peer Address:PortProcess
LISTEN 0      0          127.0.0.1:4096       0.0.0.0:*          
LISTEN 0      0            0.0.0.0:8002       0.0.0.0:*          
LISTEN 0      0            0.0.0.0:8003       0.0.0.0:*          
LISTEN 0      0            0.0.0.0:11434      0.0.0.0:*          
LISTEN 0      0         127.0.0.53:53         0.0.0.0:*          
LISTEN 0      0            0.0.0.0:3010       0.0.0.0:*          
LISTEN 0      0            0.0.0.0:3004       0.0.0.0:*          
LISTEN 0      0          127.0.0.1:5434       0.0.0.0:*          
LISTEN 0      0            0.0.0.0:6382       0.0.0.0:*          
LISTEN 0      0            0.0.0.0:6380       0.0.0.0:*          
LISTEN 0      0            0.0.0.0:27017      0.0.0.0:*          
LISTEN 0      0          127.0.0.1:6379       0.0.0.0:*          
LISTEN 0      0            0.0.0.0:5679       0.0.0.0:*          
LISTEN 0      0            0.0.0.0:5555       0.0.0.0:*          
LISTEN 0      0            0.0.0.0:5435       0.0.0.0:*          
LISTEN 0      0            0.0.0.0:5432       0.0.0.0:*          
LISTEN 0      0            0.0.0.0:5433       0.0.0.0:*          
LISTEN 0      0            0.0.0.0:8893       0.0.0.0:*          
LISTEN 0      0            0.0.0.0:5101       0.0.0.0:*          
LISTEN 0      0            0.0.0.0:5000       0.0.0.0:*          
LISTEN 0      0            0.0.0.0:22         0.0.0.0:*          
LISTEN 0      0          127.0.0.1:20241      0.0.0.0:*          
LISTEN 0      0         127.0.0.54:53         0.0.0.0:*          
LISTEN 0      0            0.0.0.0:8501       0.0.0.0:*          
LISTEN 0      0                  *:4002             *:*          
LISTEN 0      0                  *:4001             *:*          
LISTEN 0      0                  *:8080             *:*          
LISTEN 0      0                  *:8088             *:*          
LISTEN 0      0                  *:8006             *:*          
LISTEN 0      0                  *:8002             *:*          
LISTEN 0      0                  *:8003             *:*          
LISTEN 0      0                  *:8000             *:*          
LISTEN 0      0                  *:20242            *:*          
LISTEN 0      0                  *:7946             *:*          
LISTEN 0      0                  *:11434            *:*          
LISTEN 0      0                  *:3100             *:*          
LISTEN 0      0                  *:3101             *:*          
LISTEN 0      0                  *:6888             *:*          
LISTEN 0      0                  *:3012             *:*          
LISTEN 0      0                  *:3010             *:*          
LISTEN 0      0                  *:3004             *:*          
LISTEN 0      0                  *:3005             *:*          
LISTEN 0      0                  *:3002             *:*          
LISTEN 0      0                  *:3003             *:*          
LISTEN 0      0                  *:3000             *:*          
LISTEN 0      0                  *:3001             *:*          
LISTEN 0      0              [::1]:5434             *:*          
LISTEN 0      0                  *:6382             *:*          
LISTEN 0      0                  *:6380             *:*          
LISTEN 0      0                  *:6381             *:*          
LISTEN 0      0                  *:27017            *:*          
LISTEN 0      0                  *:2377             *:*          
LISTEN 0      0              [::1]:6379             *:*          
LISTEN 0      0                  *:5678             *:*          
LISTEN 0      0                  *:5679             *:*          
LISTEN 0      0                  *:5555             *:*          
LISTEN 0      0                  *:5435             *:*          
LISTEN 0      0                  *:5432             *:*          
LISTEN 0      0                  *:5433             *:*          
LISTEN 0      0                  *:8893             *:*          
LISTEN 0      0                  *:8888             *:*          
LISTEN 0      0                  *:8889             *:*          
LISTEN 0      0                  *:5100             *:*          
LISTEN 0      0                  *:5101             *:*          
LISTEN 0      0                  *:9100             *:*          
LISTEN 0      0                  *:5002             *:*          
LISTEN 0      0                  *:5000             *:*          
LISTEN 0      0                  *:9000             *:*          
LISTEN 0      0                  *:9001             *:*          
LISTEN 0      0                  *:4224             *:*          
LISTEN 39     0                  *:4222             *:*          
LISTEN 0      0                  *:8224             *:*          
LISTEN 0      0                  *:22               *:*          
LISTEN 0      0                  *:8222             *:*          
LISTEN 0      0                  *:4463             *:*          
LISTEN 0      0                  *:8501             *:*          
